"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1947","Contract policy is NOT fulfilled Dismantler allowedBrands (IS_NONE_OF, but is one contains)","","Mon Aug 18 04:02:58 GMT 2025","passed","Mon Aug 18 04:03:00 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyNotFulfilled"
"","38954","Catalog with 1000 offers","","Mon Aug 18 03:59:41 GMT 2025","passed","Mon Aug 18 04:00:20 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","39","Policy is accepted PCF Use Case (legacy notation)","","Mon Aug 18 03:59:36 GMT 2025","passed","Mon Aug 18 03:59:36 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidValidPolicyDefinitions"
"","1224","The authentication token has a invalid id","","Mon Aug 18 03:59:26 GMT 2025","passed","Mon Aug 18 03:59:28 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidTokenId"
"","564","refreshEdr_whenNotAuthorized()","","Mon Aug 18 03:59:46 GMT 2025","passed","Mon Aug 18 03:59:47 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","163","Verify the refresh endpoint is not called when token not yet expired","","Mon Aug 18 03:59:40 GMT 2025","passed","Mon Aug 18 03:59:41 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_notExpired_shouldNotCallEndpoint"
"","250","Verify that the consumer receives only the offers he is permitted to (using the new BPN validation)","","Mon Aug 18 04:00:20 GMT 2025","passed","Mon Aug 18 04:00:20 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_shouldReject"
"","3887","transferData_privateBackend_withConsumerDataPlane()","","Mon Aug 18 04:00:34 GMT 2025","passed","Mon Aug 18 04:00:38 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest","transferData_privateBackend_withConsumerDataPlane"
"","5","verifyAgentId_whenNoMembershipCredential(ParticipantAgentService)","","Mon Aug 18 04:02:07 GMT 2025","passed","Mon Aug 18 04:02:07 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractorTest","verifyAgentId_whenNoMembershipCredential"
"","1223","Refresh token success","","Mon Aug 18 03:59:31 GMT 2025","passed","Mon Aug 18 03:59:33 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
